Comment,Designator,Footprint,LCSC
1kΩ,"R12,R13",R_0402_1005Metric_NoSilk,C11702
DPS310,DPS1,DPS310,C130156
100nF,"C11,C3,C4,C6,C7,C8,C9",C_0402_1005Metric_NoSilk,C1525
TLV62568DBV,U2,SOT-23-5_NoSilk,C163219
2.2µH,L1,L_FNR3015S,C167747
0Ω,"R10,R11",R_0402_1005Metric_NoSilk,C17168
4.7µF,"C10,C2",C_0603_1608Metric_NoSilk,C19666
10µF,"C1,C5",C_0603_1608Metric_NoSilk,C19702
Red,D1,LED_0603_1608Metric_SmallSilk,C2286
100kΩ,R2,R_0402_1005Metric_NoSilk,C25741
10kΩ,"R14,R5,R6,R7",R_0402_1005Metric_NoSilk,C25744
4.7kΩ,"R8,R9",R_0402_1005Metric_NoSilk,C25900
5.1kΩ,"R3,R4",R_0402_1005Metric_NoSilk,C25905
ESP32-C3-MINI-1-N4,U1,ESP32-PICO-MINI-02-N8R2,C2838502
SHT4x,SHT4x_1,Sensirion_SHT4x,C2909890
USB_C_Receptacle_USB2.0_C393939,J2,USB_C_Receptacle_C313131_TYPE-C-31-M-12,C2927038
Reset,"SW1,SW2",TS-1187A-B-A-B,C318884
453kΩ,R1,R_0402_1005Metric_NoSilk,C321521
Emerald,D2,LED_0603_1608Metric_SmallSilk,C72043
SRV05-4,U3,SOT-23-6_NoSilk,C7420376
