Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10µF,C_0603_1608Metric_NoSilk,154.6,-118.33,0.0,top
C2,4.7µF,C_0603_1608Metric_NoSilk,154.6,-124.13,0.0,top
C3,100nF,C_0402_1005Metric_NoSilk,136.8,-134.0,-90.0,top
C4,100nF,C_0402_1005Metric_NoSilk,138.3,-97.15,90.0,top
C5,10µF,C_0603_1608Metric_NoSilk,137.1,-97.15,90.0,top
C6,100nF,C_0402_1005Metric_NoSilk,138.3,-101.1,90.0,top
C7,100nF,C_0402_1005Metric_NoSilk,135.975,-126.275,-90.0,top
C8,100nF,C_0402_1005Metric_NoSilk,135.975,-128.175,90.0,top
C9,100nF,C_0402_1005Metric_NoSilk,150.6,-107.3,-90.0,top
C10,4.7µF,C_0603_1608Metric_NoSilk,155.35,-128.0,-90.0,top
C11,100nF,C_0402_1005Metric_NoSilk,154.1,-128.35,-90.0,top
D1,Red,LED_0603_1608Metric_SmallSilk,136.75,-105.0,180.0,top
D2,Emerald,LED_0603_1608Metric_SmallSilk,136.75,-107.75,0.0,top
DPS1,DPS310,DPS310,138.5,-127.5,180.0,top
J2,USB_C_Receptacle_USB2.0_C393939,USB_C_Receptacle_C313131_TYPE-C-31-M-12,151.2,-135.35,0.0,top
L1,2.2µH,L_FNR3015S,151.3,-119.53,90.0,top
R1,453kΩ,R_0402_1005Metric_NoSilk,157.0,-121.5725,-90.0,top
R2,100kΩ,R_0402_1005Metric_NoSilk,157.0,-123.4625,-90.0,top
R3,5.1kΩ,R_0402_1005Metric_NoSilk,147.95,-128.1,90.0,top
R4,5.1kΩ,R_0402_1005Metric_NoSilk,147.0,-128.1,90.0,top
R5,10kΩ,R_0402_1005Metric_NoSilk,137.8,-99.175,0.0,top
R6,10kΩ,R_0402_1005Metric_NoSilk,148.4,-107.3,90.0,top
R7,10kΩ,R_0402_1005Metric_NoSilk,137.35,-101.1,-90.0,top
R8,4.7kΩ,R_0402_1005Metric_NoSilk,145.45,-107.3,90.0,top
R9,4.7kΩ,R_0402_1005Metric_NoSilk,147.25,-107.3,90.0,top
R10,0Ω,R_0402_1005Metric_NoSilk,153.15,-107.3,-90.0,top
R11,0Ω,R_0402_1005Metric_NoSilk,154.15,-107.3,-90.0,top
R12,1kΩ,R_0402_1005Metric_NoSilk,136.4,-101.1,-90.0,top
R13,1kΩ,R_0402_1005Metric_NoSilk,140.3,-107.3,-90.0,top
R14,10kΩ,R_0402_1005Metric_NoSilk,149.35,-107.3,90.0,top
SHT4x_1,SHT4x,Sensirion_SHT4x,138.5,-134.0,180.0,top
SW1,Reset,TS-1187A-B-A-B,141.5,-112.0,180.0,top
SW2,Mode,TS-1187A-B-A-B,150.5,-112.0,180.0,top
U1,ESP32-C3-MINI-1-N4,ESP32-PICO-MINI-02-N8R2,146.0,-99.975,0.0,top
U2,TLV62568DBV,SOT-23-5_NoSilk,154.8,-121.3,-90.0,top
U3,SRV05-4,SOT-23-6_NoSilk,150.7,-127.9,0.0,top
